"id","Source","Target","distance"
"2","AER","KZN","2B"
"3","ASF","KZN","2B"
"4","ASF","MRV","2B"
"5","CEK","KZN","2B"
"6","CEK","OVB","2B"
"7","DME","KZN","2B"
"8","DME","NBC","2B"
"9","DME","TGK","2B"
"10","DME","UUA","2B"
"11","EGO","KGD","2B"
"12","EGO","KZN","2B"
"13","GYD","NBC","2B"
"14","KGD","EGO","2B"
"15","KZN","AER","2B"
"16","KZN","ASF","2B"
"17","KZN","CEK","2B"
"18","KZN","DME","2B"
"19","KZN","EGO","2B"
"20","KZN","LED","2B"
"21","KZN","SVX","2B"
"22","LED","KZN","2B"
"23","LED","NBC","2B"
"24","LED","UUA","2B"
"25","MRV","ASF","2B"
"26","NBC","DME","2B"
"27","NBC","GYD","2B"
"28","NBC","LED","2B"
"29","NBC","SVX","2B"
"30","NJC","SVX","2B"
"31","NJC","UUA","2B"
"32","NUX","SVX","2B"
"33","OVB","CEK","2B"
"34","OVB","SVX","2B"
"35","SVX","KZN","2B"
"36","SVX","NBC","2B"
"37","SVX","NJC","2B"
"38","SVX","NUX","2B"
"39","SVX","OVB","2B"
"40","TGK","DME","2B"
"41","UUA","DME","2B"
"42","UUA","LED","2B"
"43","UUA","NJC","2B"
"44","BTK","IKT","2G"
"45","BTK","OVB","2G"
"46","CEK","OVB","2G"
"47","HTA","IKT","2G"
"48","IKT","BTK","2G"
"49","IKT","HTA","2G"
"50","IKT","KCK","2G"
"51","IKT","ODO","2G"
"52","IKT","OVB","2G"
"53","IKT","UKX","2G"
"54","IKT","ULK","2G"
"55","IKT","YKS","2G"
"56","KCK","IKT","2G"
"57","MJZ","OVB","2G"
"58","ODO","IKT","2G"
"59","OVB","BTK","2G"
"60","OVB","CEK","2G"
"61","OVB","IKT","2G"
"62","UKX","IKT","2G"
"63","ULK","IKT","2G"
"64","YKS","IKT","2G"
"65","AYP","LIM","2I"
"66","CUZ","LIM","2I"
"67","CUZ","PEM","2I"
"68","HUU","LIM","2I"
"69","IQT","PCL","2I"
"70","IQT","TPP","2I"
"71","LIM","AYP","2I"
"72","LIM","CUZ","2I"
"73","LIM","HUU","2I"
"74","LIM","PCL","2I"
"75","LIM","TPP","2I"
"76","PCL","IQT","2I"
"77","PCL","LIM","2I"
"78","PCL","TPP","2I"
"79","PEM","CUZ","2I"
"80","TPP","IQT","2I"
"81","TPP","LIM","2I"
"82","TPP","PCL","2I"
"83","ABJ","BOY","2J"
"84","ABJ","OUA","2J"
"85","ACC","OUA","2J"
"86","BKO","ABJ","2J"
"87","BKO","DKR","2J"
"88","BKO","OUA","2J"
"89","BOY","ABJ","2J"
"90","BOY","OUA","2J"
"91","COO","LFW","2J"
"92","COO","OUA","2J"
"93","DKR","BKO","2J"
"94","DKR","OUA","2J"
"95","LFW","OUA","2J"
"96","NIM","OUA","2J"
"97","OUA","ABJ","2J"
"98","OUA","ACC","2J"
"99","OUA","BKO","2J"
"100","OUA","BOY","2J"
"101","OUA","COO","2J"
"102","OUA","DKR","2J"
"103","OUA","LFW","2J"
"104","OUA","NIM","2J"
"105","BOG","GYE","2K"
"106","BOG","UIO","2K"
"107","CLO","GYE","2K"
"108","GYE","BOG","2K"
"109","GYE","CLO","2K"
"110","GYE","SCY","2K"
"111","GYE","UIO","2K"
"112","OCC","UIO","2K"
"113","SCY","GYE","2K"
"114","UIO","BOG","2K"
"115","UIO","GYE","2K"
"116","UIO","OCC","2K"
"117","BDS","ZRH","2L"
"118","BOD","ZRH","2L"
"119","BRS","ZRH","2L"
"120","GVA","LPA","2L"
"121","LCA","ZRH","2L"
"122","LPA","ZRH","2L"
"123","RMF","ZRH","2L"
"124","TFS","GVA","2L"
"125","ZRH","BDS","2L"
"126","ZRH","BOD","2L"
"127","ZRH","BRS","2L"
"128","ZRH","LCA","2L"
"129","ZRH","LPA","2L"
"130","ZRH","RMF","2L"
"131","AJR","LYC","2N"
"132","ARN","GEV","2N"
