"serial_num","id","latitude","longitude","Label"
"1","AAA",-17.3542,"-145.4961","Anaa"
"2","AAC",31.0733,"33.8358","EL-ARISH"
"3","AAE",36.8222,"7.8094","Annaba                                  "
"4","AAF",29.7275,"-85.0274","APALACHICOLA MUNI AIRPORT"
"5","AAG",-24.1036,"-49.7900","ARAPOTI"
"6","AAL",57.0928,"9.8492","Aalborg Airport                         "
"7","AAM",-24.8181,"31.5446","  Mala Mala"
"8","AAN",24.2617,"55.6092","Al Ain                                  "
"9","AAQ",45.0017,"37.3483","Anapa"
"10","AAR",56.3,"10.6190","Aarhus Tirstrup Airport"
"11","AAT",47.72,"88.1500","Altay                                   "
"12","AAX",-19.5603,"-46.9653","Araxa"
"13","AAY",16.1917,"52.1750","Al Ghaydah                              "
"14","ABA",53.7417,"91.3850","Abakan"
"15","ABB",6.1978,"6.7285","Asaba                                   "
"16","ABC",38.948,"-1.8630","Albacete"
"17","ABD",30.3667,"48.2333","Abadan"
"18","ABE",40.6521,"-75.4408","Allentown/Bethlehem/Easton"
"19","ABH",-23.6583,"146.5917","ALPHA"
"20","ABI",32.4113,"-99.6819","Abilene Regional Apt"
"21","ABJ",5.2544,"-3.9286","Abidjan"
"22","ABK",6.734,"44.2530","  Kabri Dehar"
"23","ABL",67.1063,"-157.8575","Ambler"
"24","ABM",-10.95,"142.4600","Bamaga                                  "
"25","ABQ",35.0402,"-106.6092","Albuquerque"
"26","ABR",45.449,"-98.4218","Aberdeen"
"27","ABS",22.3758,"31.6117","Abu Simbel                              "
"28","ABT",20.2961,"41.6342","Al Baha                                 "
"29","ABV",9.0069,"7.2631","Abuja"
"30","ABX",-36.0689,"146.9564","Albury"
"31","ABY",31.5369,"-84.1945","Albany Dougherty County Apt"
"32","ABZ",57.2019,"-2.1978","Aberdeen"
"33","ACA",16.7571,"-99.7538","Acapulco"
"34","ACC",5.5964,"-0.1700","Accra                                   "
"35","ACE",28.9455,"-13.6052","Lanzarote                               "
"36","ACH",47.485,"9.5619","Altenrhein"
"37","ACI",49.7061,"-2.2147","Alderney"
"38","ACK",41.2531,"-70.0602","Nantucket"
"39","ACP",37.7333,"46.4500","Sahand"
"40","ACR",0.6007,"-72.3980","Araracuara"
"41","ACT",31.6113,"-97.2305","Waco Municipal Apt"
"42","ACU",9.183,"-78.0170","Achutupo"
"43","ACV",40.9781,"-124.1086","Arcata/Eureka"
"44","ACX",25.05,"104.9833","Xingyi"
"45","ACY",39.4576,"-74.5772","Atlantic City International"
"46","ACZ",31.0983,"61.5439","Zabol"
"47","ADA",36.9825,"35.2831","Adana"
"48","ADB",38.2892,"27.1550","Izmir Adnan Menderes Apt                "
"49","ADD",8.975,"38.7994","Addis Ababa"
"50","ADE",12.8289,"45.0297","Aden"
"51","ADF",37.7308,"38.4689","Adiyaman                                "
"52","ADH",58.6,"125.4000","Aldan"
"53","ADJ",31.9727,"35.9916","AMMAN MARKA INTL"
"54","ADK",51.878,"-176.6460","Adak Island"
"55","ADL",-34.945,"138.5300","Adelaide International"
"56","ADP",8.3,"80.4767","ANURADHAPURA"
"57","ADQ",57.75,"-152.4939","Kodiak Apt"
"58","ADS",32.9697,"-96.8386","DALLAS/ADDISON"
"59","ADU",38.3267,"48.4242","Ardabil                                 "
"60","ADW",38.8108,"-76.8670","ANDREWS AFB"
"61","ADX",56.3733,"-2.8683","LEUCHARS"
"62","ADZ",12.5836,"-81.7108","San Andres Island"
"63","AEB",23.72,"106.9600","Baise"
"64","AEG",1.4001,"99.4305","  Padang Sidempuan"
"65","AEH",13.8472,"20.8488","ABECHE"
"66","AEO",16.7167,"-9.6333","AIOUN-EL-ATROUSS"
"67","AEP",-34.5589,"-58.4164","Buenos Aires Aeroparque J. Newbery"
"68","AER",43.445,"39.9483","Sochi"
"69","AES",62.5625,"6.1197","Alesund                                 "
"70","AET",66.5518,"-152.6222","Allakaket"
"71","AEX",31.3274,"-92.5486","Alexandria International Apt"
"72","AEY",65.6586,"-18.0722","Akureyri"
"73","AFA",-34.5883,"-68.4033","San Rafael"
"74","AFB",46.8433,"6.9167","PAYERNE AFB"
"75","AFL",-9.8661,"-56.1044","Alta Floresta"
"76","AFS",41.6133,"64.2328","Zarafshan"
"77","AFT",-9.1911,"160.9492","  Afutara"
"78","AFW",32.9876,"-97.3188","FORT WORTH ALLIANCE"
"79","AFY",38.7339,"30.5953","AFYON"
"80","AFZ",36.1681,"57.5953","Sabzevar                                "
"81","AGA",30.325,"-9.4131","Agadir"
"82","AGB",48.4252,"10.9318","Munich Augsburg Apt"
"83","AGC",40.3544,"-79.9302","PITTSBURH/ALLEGHENY CO"
"84","AGF",44.1747,"0.5906","Agen"
"85","AGH",56.2911,"12.8550","Angelholm/Helsingborg Angelholm Apt"
"86","AGL",-9.333,"149.1500","  Wanigela"
"87","AGM",65.6122,"-37.6183","Tasiilaq"
"88","AGN",57.5036,"-134.5851","Angoon"
"89","AGP",36.675,"-4.4992","Malaga                                  "
"90","AGQ",38.602,"21.3512","AGRINION"
"91","AGR",27.15,"77.9500","Agra"
"92","AGS",33.3367,"-81.9645","Augusta Bush Field"
"93","AGT",-25.4558,"-54.8437","Ciudad del Este                         "
"94","AGU",21.7047,"-102.3175","Aguascalientes                          "
"95","AGV",9.55,"-69.2333","ACARIGUA"
"96","AGX",10.8237,"72.1760","Agatti Island"
"97","AGZ",-29.2792,"18.8175","AGGENEYS"
"98","AHB",18.2404,"42.6565","Abha"
"99","AHE",-14.4278,"-146.2550","Ahe"
"100","AHN",33.9486,"-83.3263","Athens"
"101","AHO",40.6322,"8.2894","Alghero"
"102","AHS",15.4722,"-84.3522","  Ahu�s"
"103","AHU",35.1806,"-3.8317","Al Hoceima"
"104","AIA",42.0532,"-102.8037","Alliance                                "
"105","AIC",7.1,"171.2333","XXX"
"106","AID",40.1087,"-85.6130","ANDERSON MUN DARLINGTON FLD"
"107","AIF",-22.6394,"-50.4525","ASSIS"
"108","AIM",10.2,"169.9833","XXX"
"109","AIN",70.638,"-159.9948","Wainwright"
"110","AIR",-10.25,"-59.3833","Aripuana Airport"
"111","AIT",-18.8309,"-159.7642","Aitutaki Island"
"112","AIU",-19.9678,"-158.1192","Atiu Island                             "
"113","AJA",41.9239,"8.8025","Ajaccio"
"114","AJF",29.7852,"40.0996","Jouf                                    "
"115","AJI",39.6627,"43.0232","Agri                                    "
"116","AJL",23.7333,"92.8000","Aizawl"
"117","AJN",-12.1317,"44.4303","Anjouan"
"118","AJR",65.5903,"19.2819","Arvidsjaur"
"119","AJU",-10.9853,"-37.0733","Aracaju"
"120","AJY",16.9622,"7.9903","AGADEZ/MANU DAYAK"
"121","AKA",32.7081,"108.9314","  Ankang"
"122","AKB",52.2203,"-174.2063","Atka                                    "
"123","AKC",41.0375,"-81.4669","AKRON"
"124","AKD",20.6978,"77.0589","AKOLA"
"125","AKF",24.1767,"23.3150","Kufra"
"126","AKH",35.2026,"-81.1498","GASTONIA MUNI"
"127","AKI",60.9029,"-161.2306","Akiak                                   "
"128","AKJ",43.6707,"142.4475","Asahikawa"
"129","AKK",56.9387,"-154.1826","Akhiok"
"130","AKL",-37.0081,"174.7917","Auckland International Apt"
"131","AKN",58.6768,"-156.6492","King Salmon"
"132","AKP",68.1336,"-151.7433","Anaktuvuk Pass                          "
"133","AKR",7.25,"5.3042","AKURE"
"134","AKS",-8.6978,"160.6808","Auki (SB)"
"135","AKT",34.5903,"32.9878","AKROTIRI"
"136","AKU",41.2625,"80.2917","Aksu"
"137","AKV",60.8186,"-78.1486","Akulivik"
"138","AKX",50.2458,"57.2067","Aktobe                                  "
"139","AKY",20.1329,"92.8760","Sittwe                                  "
"140","ALA",43.3519,"77.0406","Almaty"
"141","ALB",42.7483,"-73.8017","Albany International Airport            "
"142","ALC",38.2822,"-0.5582","Alicante"
"143","ALF",69.9761,"23.3717","Alta"
"144","ALG",36.6944,"3.2169","Algiers"
"145","ALH",-34.9433,"117.8083","Albany"
"146","ALI",27.7417,"-98.0267","ALICE INTL"
"147","ALJ",-28.5733,"16.5350","ALEXANDER BAY"
"148","ALL",44.0467,"8.1264","ALBENGA"
"149","ALM",32.8399,"-105.9906","  Alamogordo"
"150","ALN",38.89,"-90.0467","ALTON/ST. LOUIS REGIONAL"
"151","ALO",42.5572,"-92.4033","Waterloo"
"152","ALP",36.1797,"37.2261","ALEPPO INTL"
"153","ALR",-45.2117,"169.3733","ALEXANDRA"
"154","ALS",37.4349,"-105.8666","Alamosa"
